NAMELSAD,JOIN_ID,county,less_grade_9,bach,grad,hs_or_higher,bach_or_higher
Census Tract 401,CensusTract401, Snohomish County,0.6,26.7,19.8,95,46.6
Census Tract 402,CensusTract402, Snohomish County,7.4,6.1,4.4,78.6,10.5
Census Tract 403,CensusTract403, Snohomish County,3.2,18.5,9.1,89.6,27.6
Census Tract 404,CensusTract404, Snohomish County,1.2,24.3,13.5,96.4,37.8
Census Tract 405,CensusTract405, Snohomish County,1.3,11.3,4.3,94.9,15.6
Census Tract 407,CensusTract407, Snohomish County,3.5,9.9,3.3,83.9,13.2
Census Tract 408,CensusTract408, Snohomish County,1.5,24.3,11.6,93.2,35.9
Census Tract 409,CensusTract409, Snohomish County,0.6,21.9,15.9,92.8,37.8
Census Tract 410,CensusTract410, Snohomish County,3,15.3,11,92.3,26.3
Census Tract 411,CensusTract411, Snohomish County,4.6,18,14.5,88.9,32.5
Census Tract 412.01,CensusTract41201, Snohomish County,2.9,20.4,7.9,91.2,28.3
Census Tract 412.02,CensusTract41202, Snohomish County,3.9,10.2,4.6,91.5,14.8
Census Tract 413.01,CensusTract41301, Snohomish County,0.1,19.4,22.1,97.2,41.4
Census Tract 413.03,CensusTract41303, Snohomish County,2.4,21.8,9.8,94.1,31.6
Census Tract 413.04,CensusTract41304, Snohomish County,3.4,33.6,21.3,93,54.9
Census Tract 414,CensusTract414, Snohomish County,7.7,12,3.6,82.3,15.5
Census Tract 415,CensusTract415, Snohomish County,0.8,17.1,10.7,89.5,27.8
Census Tract 416.01,CensusTract41601, Snohomish County,5.4,22.8,6.5,86.7,29.3
Census Tract 416.05,CensusTract41605, Snohomish County,5.5,25.7,9.3,92.4,35
Census Tract 416.06,CensusTract41606, Snohomish County,1.4,25.9,7,96.1,32.8
Census Tract 416.07,CensusTract41607, Snohomish County,0.8,30.6,18.9,94.7,49.5
Census Tract 416.09,CensusTract41609, Snohomish County,1,32.3,13,95.9,45.3
Census Tract 416.10,CensusTract41610, Snohomish County,1.3,30.9,12,98.4,42.9
Census Tract 417.01,CensusTract41701, Snohomish County,2.4,26.4,8.3,89.9,34.6
Census Tract 417.03,CensusTract41703, Snohomish County,3.6,30,17,93.6,47
Census Tract 417.04,CensusTract41704, Snohomish County,0.9,32,11.5,92.9,43.5
Census Tract 418.05,CensusTract41805, Snohomish County,8.3,14.9,4.4,86.1,19.3
Census Tract 418.08,CensusTract41808, Snohomish County,7.8,14.9,3.6,84.4,18.5
Census Tract 418.09,CensusTract41809, Snohomish County,7.8,17,2.1,80.6,19.1
Census Tract 418.10,CensusTract41810, Snohomish County,4.5,15,6.2,87.8,21.3
Census Tract 418.12,CensusTract41812, Snohomish County,1.7,21.6,10.8,86.1,32.4
Census Tract 418.13,CensusTract41813, Snohomish County,4.4,12.4,1.5,87.4,13.9
Census Tract 418.14,CensusTract41814, Snohomish County,6.7,15.4,3.6,78.2,19
Census Tract 418.15,CensusTract41815, Snohomish County,7.3,10.8,3,89.7,13.8
Census Tract 418.16,CensusTract41816, Snohomish County,2.3,23.6,12.6,92.9,36.2
Census Tract 419.01,CensusTract41901, Snohomish County,5.8,19.9,4.8,91,24.7
Census Tract 419.04,CensusTract41904, Snohomish County,13.1,10.2,3.6,78.8,13.8
Census Tract 419.05,CensusTract41905, Snohomish County,6.9,13.7,1.3,79,15
Census Tract 419.06,CensusTract41906, Snohomish County,8.8,9.2,1.7,82.1,10.9
Census Tract 419.07,CensusTract41907, Snohomish County,11.4,12.4,5,81.6,17.4
Census Tract 420.01,CensusTract42001, Snohomish County,2.4,32.1,19.8,96.6,51.9
Census Tract 420.03,CensusTract42003, Snohomish County,1.3,25.9,14.9,96.9,40.8
Census Tract 420.04,CensusTract42004, Snohomish County,1.2,21.1,7.7,94.4,28.8
Census Tract 420.05,CensusTract42005, Snohomish County,0.5,28.9,27.7,97.7,56.6
